temple,date,hour,day_of_week,is_weekend,is_holiday,is_festival,weather,temperature,previous_visitors,current_crowd,visitors
Somnath,2025-01-03,11,Friday,0,0,0,Sunny,33.7,1968,4675,1657
Somnath,2025-01-03,12,Friday,0,0,0,Sunny,35.8,1657,3650,1253
Somnath,2025-01-03,13,Friday,0,0,0,Sunny,35.2,1253,3072,1028
Somnath,2025-01-03,14,Friday,0,0,0,Sunny,36.2,1028,3936,1862
Somnath,2025-01-03,15,Friday,0,0,0,Sunny,36.4,1862,4127,1702
Somnath,2025-01-03,16,Friday,0,0,0,Sunny,35.0,1702,4745,2192
Somnath,2025-01-03,17,Friday,0,0,0,Sunny,34.2,2192,5307,2343
Somnath,2025-01-03,18,Friday,0,0,0,Sunny,34.7,2343,5374,2151
Somnath,2025-01-03,19,Friday,0,0,0,Sunny,31.0,2151,5366,2086
Somnath,2025-01-03,20,Friday,0,0,0,Sunny,30.7,2086,4293,1455
Somnath,2025-01-03,21,Friday,0,0,0,Sunny,29.7,1455,3148,885
Somnath,2025-01-03,22,Friday,0,0,0,Sunny,28.0,885,2086,383
Somnath,2025-01-03,23,Friday,0,0,0,Sunny,27.3,383,1093,108
Somnath,2025-01-04,0,Saturday,1,0,0,Sunny,20.4,108,581,57
Somnath,2025-01-04,1,Saturday,1,0,0,Sunny,20.9,57,302,33
Somnath,2025-01-04,2,Saturday,1,0,0,Sunny,19.9,33,196,36
Somnath,2025-01-04,3,Saturday,1,0,0,Sunny,20.6,36,204,83
Somnath,2025-01-04,4,Saturday,1,0,0,Sunny,22.2,83,1112,761
Somnath,2025-01-04,5,Saturday,1,0,0,Sunny,21.4,761,2745,1676
Somnath,2025-01-04,6,Saturday,1,0,0,Sunny,23.1,1676,5017,2844
Somnath,2025-01-04,7,Saturday,1,0,0,Sunny,24.0,2844,5128,2212
Somnath,2025-01-04,8,Saturday,1,0,0,Sunny,25.3,2212,6624,3058
Somnath,2025-01-04,9,Saturday,1,0,0,Sunny,25.9,3058,7057,3005
Somnath,2025-01-04,10,Saturday,1,0,0,Sunny,28.9,3005,6415,2263
Somnath,2025-01-04,11,Saturday,1,0,0,Sunny,29.2,2263,5603,1963
Somnath,2025-01-04,12,Saturday,1,0,0,Sunny,30.1,1963,4459,1429
Somnath,2025-01-04,13,Saturday,1,0,0,Sunny,30.3,1429,3912,1362
Somnath,2025-01-04,14,Saturday,1,0,0,Sunny,31.6,1362,3848,1407
Somnath,2025-01-04,15,Saturday,1,0,0,Sunny,29.3,1407,4582,2074
Somnath,2025-01-04,16,Saturday,1,0,0,Sunny,30.2,2074,5529,2584
Somnath,2025-01-04,17,Saturday,1,0,0,Sunny,28.9,2584,6941,3220
Somnath,2025-01-04,18,Saturday,1,0,0,Sunny,28.3,3220,7915,3445
Somnath,2025-01-04,19,Saturday,1,0,0,Sunny,27.0,3445,8246,3387
Somnath,2025-01-04,20,Saturday,1,0,0,Sunny,24.9,3387,6757,2154
Somnath,2025-01-04,21,Saturday,1,0,0,Sunny,24.4,2154,4869,1341
Somnath,2025-01-04,22,Saturday,1,0,0,Sunny,23.6,1341,2976,537
Somnath,2025-01-04,23,Saturday,1,0,0,Sunny,21.6,537,1665,187
Somnath,2025-01-05,0,Sunday,1,0,0,Sunny,26.0,187,856,60
Somnath,2025-01-05,1,Sunday,1,0,0,Sunny,24.5,60,438,41
Somnath,2025-01-05,2,Sunday,1,0,0,Sunny,24.6,41,247,43
Somnath,2025-01-05,3,Sunday,1,0,0,Sunny,26.0,43,223,88
Somnath,2025-01-05,4,Sunday,1,0,0,Sunny,25.9,88,1132,762
Somnath,2025-01-05,5,Sunday,1,0,0,Sunny,26.5,762,2489,1483
Somnath,2025-01-05,6,Sunday,1,0,0,Sunny,27.2,1483,4501,2464
Somnath,2025-01-05,7,Sunday,1,0,0,Sunny,28.3,2464,6109,3049
Somnath,2025-01-05,8,Sunday,1,0,0,Sunny,30.0,3049,7257,3423
Somnath,2025-01-05,9,Sunday,1,0,0,Sunny,31.3,3423,7724,3364
Somnath,2025-01-05,10,Sunday,1,0,0,Sunny,32.1,3364,7072,2850
Somnath,2025-01-05,11,Sunday,1,0,0,Sunny,32.7,2850,5969,2089
Somnath,2025-01-05,12,Sunday,1,0,0,Sunny,34.5,2089,5354,1891
Somnath,2025-01-05,13,Sunday,1,0,0,Sunny,34.8,1891,4156,1383
Somnath,2025-01-05,14,Sunday,1,0,0,Sunny,35.0,1383,4095,1626
Somnath,2025-01-05,15,Sunday,1,0,0,Sunny,34.4,1626,5113,2318
Somnath,2025-01-05,16,Sunday,1,0,0,Sunny,34.3,2318,6448,3013
Somnath,2025-01-05,17,Sunday,1,0,0,Sunny,33.3,3013,7846,3661
Somnath,2025-01-05,18,Sunday,1,0,0,Sunny,32.5,3661,8286,3519
Somnath,2025-01-05,19,Sunday,1,0,0,Sunny,31.4,3519,8998,3771
Somnath,2025-01-05,20,Sunday,1,0,0,Sunny,31.1,3771,7151,2167
Somnath,2025-01-05,21,Sunday,1,0,0,Sunny,28.5,2167,5522,1803
Somnath,2025-01-05,22,Sunday,1,0,0,Sunny,26.7,1803,2968,553
Somnath,2025-01-05,23,Sunday,1,0,0,Sunny,25.8,553,1590,181
Somnath,2025-01-06,0,Monday,0,0,0,Rainy,27.5,181,812,46
Somnath,2025-01-06,1,Monday,0,0,0,Rainy,26.5,46,404,22
Somnath,2025-01-06,2,Monday,0,0,0,Rainy,25.8,22,233,30
Somnath,2025-01-06,3,Monday,0,0,0,Rainy,26.5,30,178,49
Somnath,2025-01-06,4,Monday,0,0,0,Rainy,27.3,49,739,493
Somnath,2025-01-06,5,Monday,0,0,0,Rainy,27.8,493,1565,912
Somnath,2025-01-06,6,Monday,0,0,0,Rainy,29.0,912,3053,1768
Somnath,2025-01-06,7,Monday,0,0,0,Rainy,30.4,1768,4239,2096
Somnath,2025-01-06,8,Monday,0,0,0,Rainy,32.3,2096,4413,1964
Somnath,2025-01-06,9,Monday,0,0,0,Rainy,34.0,1964,4728,2086
Somnath,2025-01-06,10,Monday,0,0,0,Rainy,35.4,2086,4582,1725
Somnath,2025-01-06,11,Monday,0,0,0,Rainy,35.6,1725,4658,1789
Somnath,2025-01-06,12,Monday,0,0,0,Rainy,36.3,1789,3638,1092
Somnath,2025-01-06,13,Monday,0,0,0,Rainy,37.0,1092,2717,758
Somnath,2025-01-06,14,Monday,0,0,0,Rainy,37.0,758,2405,836
Somnath,2025-01-06,15,Monday,0,0,0,Heavy Rain,36.9,836,2274,880
Somnath,2025-01-06,16,Monday,0,0,0,Rainy,37.0,880,3038,1493
Somnath,2025-01-06,17,Monday,0,0,0,Heavy Rain,36.1,1493,3066,1260
Somnath,2025-01-06,18,Monday,0,0,0,Rainy,33.3,1260,4454,2344
Somnath,2025-01-06,19,Monday,0,0,0,Rainy,33.6,2344,4652,2031
Somnath,2025-01-06,20,Monday,0,0,0,Rainy,31.6,2031,3820,1284
Somnath,2025-01-06,21,Monday,0,0,0,Rainy,31.1,1284,2783,756
Somnath,2025-01-06,22,Monday,0,0,0,Rainy,28.9,756,1692,331
Somnath,2025-01-06,23,Monday,0,0,0,Rainy,27.5,331,870,114
Somnath,2025-01-07,0,Tuesday,0,0,0,Clear,24.2,114,435,34
Somnath,2025-01-07,1,Tuesday,0,0,0,Clear,24.0,34,236,24
Somnath,2025-01-07,2,Tuesday,0,0,0,Clear,23.6,24,133,21
Somnath,2025-01-07,3,Tuesday,0,0,0,Clear,22.8,21,126,46
Somnath,2025-01-07,4,Tuesday,0,0,0,Clear,25.7,46,565,375
Somnath,2025-01-07,5,Tuesday,0,0,0,Clear,25.7,375,1886,1198
Somnath,2025-01-07,6,Tuesday,0,0,0,Clear,26.5,1198,2575,1329
Somnath,2025-01-07,7,Tuesday,0,0,0,Clear,28.0,1329,3390,1714
Somnath,2025-01-07,8,Tuesday,0,0,0,Clear,28.8,1714,4076,1794
Somnath,2025-01-07,9,Tuesday,0,0,0,Clear,31.1,1794,4427,1820
Somnath,2025-01-07,10,Tuesday,0,0,0,Clear,31.9,1820,4026,1394
Somnath,2025-01-07,11,Tuesday,0,0,0,Clear,33.2,1394,3308,1121
Somnath,2025-01-07,12,Tuesday,0,0,0,Clear,33.2,1121,2567,748
Somnath,2025-01-07,13,Tuesday,0,0,0,Clear,35.4,748,2069,653
Somnath,2025-01-07,14,Tuesday,0,0,0,Clear,34.1,653,2098,885
Somnath,2025-01-07,15,Tuesday,0,0,0,Clear,33.8,885,2553,1221
Somnath,2025-01-07,16,Tuesday,0,0,0,Clear,33.9,1221,3283,1591
Somnath,2025-01-07,17,Tuesday,0,0,0,Clear,32.4,1591,4036,1854
Somnath,2025-01-07,18,Tuesday,0,0,0,Clear,32.1,1854,4410,1915
Somnath,2025-01-07,19,Tuesday,0,0,0,Clear,31.0,1915,3991,1446
Somnath,2025-01-07,20,Tuesday,0,0,0,Clear,28.8,1446,3643,1419
Somnath,2025-01-07,21,Tuesday,0,0,0,Clear,26.8,1419,2502,636
Somnath,2025-01-07,22,Tuesday,0,0,0,Clear,26.7,636,1563,297
Somnath,2025-01-07,23,Tuesday,0,0,0,Clear,24.5,297,809,110
Somnath,2025-01-08,0,Wednesday,0,0,0,Clear,18.4,110,426,32
Somnath,2025-01-08,1,Wednesday,0,0,0,Clear,18.0,32,215,25
Somnath,2025-01-08,2,Wednesday,0,0,0,Clear,18.5,25,121,27
Somnath,2025-01-08,3,Wednesday,0,0,0,Clear,18.0,27,135,60
Somnath,2025-01-08,4,Wednesday,0,0,0,Clear,19.1,60,556,367
Somnath,2025-01-08,5,Wednesday,0,0,0,Clear,19.7,367,1567,973
Somnath,2025-01-08,6,Wednesday,0,0,0,Clear,21.0,973,2644,1449
Somnath,2025-01-08,7,Wednesday,0,0,0,Clear,21.8,1449,3880,2011
Somnath,2025-01-08,8,Wednesday,0,0,0,Clear,23.6,2011,5436,2677
Somnath,2025-01-08,9,Wednesday,0,0,0,Clear,24.6,2677,5299,2150
Somnath,2025-01-08,10,Wednesday,0,0,0,Clear,24.9,2150,4050,1399
Somnath,2025-01-08,11,Wednesday,0,0,0,Clear,27.0,1399,3730,1300
Somnath,2025-01-08,12,Wednesday,0,0,0,Clear,28.2,1300,2935,879
Somnath,2025-01-08,13,Wednesday,0,0,0,Clear,27.2,879,2468,812
Somnath,2025-01-08,14,Wednesday,0,0,0,Clear,27.8,812,2614,1100
Somnath,2025-01-08,15,Wednesday,0,0,0,Clear,28.3,1100,3118,1339
Somnath,2025-01-08,16,Wednesday,0,0,0,Clear,28.1,1339,3646,1685
Somnath,2025-01-08,17,Wednesday,0,0,0,Clear,26.7,1685,4599,2243
Somnath,2025-01-08,18,Wednesday,0,0,0,Clear,26.1,2243,4923,2077
Somnath,2025-01-08,19,Wednesday,0,0,0,Clear,25.0,2077,4918,2044
Somnath,2025-01-08,20,Wednesday,0,0,0,Clear,23.3,2044,3789,1204
Somnath,2025-01-08,21,Wednesday,0,0,0,Clear,22.3,1204,2794,865
Somnath,2025-01-08,22,Wednesday,0,0,0,Clear,21.4,865,1821,398
Somnath,2025-01-08,23,Wednesday,0,0,0,Clear,20.9,398,908,103
Somnath,2025-01-09,0,Thursday,0,0,0,Clear,25.6,103,479,42
Somnath,2025-01-09,1,Thursday,0,0,0,Clear,26.1,42,236,24
Somnath,2025-01-09,2,Thursday,0,0,0,Clear,27.4,24,139,24
Somnath,2025-01-09,3,Thursday,0,0,0,Clear,26.5,24,147,62
Somnath,2025-01-09,4,Thursday,0,0,0,Clear,26.2,62,661,436
Somnath,2025-01-09,5,Thursday,0,0,0,Clear,28.3,436,1732,1068
Somnath,2025-01-09,6,Thursday,0,0,0,Clear,28.0,1068,2893,1564
Somnath,2025-01-09,7,Thursday,0,0,0,Clear,30.5,1564,3605,1632
Somnath,2025-01-09,8,Thursday,0,0,0,Clear,31.1,1632,4331,2067
Somnath,2025-01-09,9,Thursday,0,0,0,Clear,31.5,2067,4848,2142
Somnath,2025-01-09,10,Thursday,0,0,0,Clear,33.0,2142,4047,1409
Somnath,2025-01-09,11,Thursday,0,0,0,Clear,35.9,1409,3454,1311
Somnath,2025-01-09,12,Thursday,0,0,0,Clear,35.6,1311,2575,911
Somnath,2025-01-09,13,Thursday,0,0,0,Clear,36.2,911,2280,801
Somnath,2025-01-09,14,Thursday,0,0,0,Clear,37.0,801,2557,1144
Somnath,2025-01-09,15,Thursday,0,0,0,Clear,35.6,1144,3533,1762
Somnath,2025-01-09,16,Thursday,0,0,0,Clear,35.7,1762,3901,1700
Somnath,2025-01-09,17,Thursday,0,0,0,Clear,34.8,1700,4375,1976
Somnath,2025-01-09,18,Thursday,0,0,0,Clear,33.8,1976,4798,2148
Somnath,2025-01-09,19,Thursday,0,0,0,Clear,32.6,2148,4785,1825
Somnath,2025-01-09,20,Thursday,0,0,0,Clear,29.6,1825,4460,1609
Somnath,2025-01-09,21,Thursday,0,0,0,Clear,28.6,1609,3036,790
Somnath,2025-01-09,22,Thursday,0,0,0,Clear,27.7,790,1724,321
Somnath,2025-01-09,23,Thursday,0,0,0,Clear,28.5,321,1003,132
Somnath,2025-01-10,0,Friday,0,0,0,Clear,20.9,132,488,36
Somnath,2025-01-10,1,Friday,0,0,0,Clear,20.2,36,260,24
Somnath,2025-01-10,2,Friday,0,0,0,Clear,19.6,24,156,26
Somnath,2025-01-10,3,Friday,0,0,0,Clear,20.2,26,163,66
Somnath,2025-01-10,4,Friday,0,0,0,Clear,19.8,66,778,520
Somnath,2025-01-10,5,Friday,0,0,0,Clear,21.1,520,1781,1076
Somnath,2025-01-10,6,Friday,0,0,0,Clear,22.9,1076,3240,1822
Somnath,2025-01-10,7,Friday,0,0,0,Clear,24.3,1822,4266,2156
Somnath,2025-01-10,8,Friday,0,0,0,Clear,24.1,2156,5504,2746
Somnath,2025-01-10,9,Friday,0,0,0,Clear,27.4,2746,5082,1774
Somnath,2025-01-10,10,Friday,0,0,0,Clear,27.7,1774,4803,1910
Somnath,2025-01-10,11,Friday,0,0,0,Clear,28.9,1910,4414,1580
Somnath,2025-01-10,12,Friday,0,0,0,Clear,29.6,1580,3468,1124
Somnath,2025-01-10,13,Friday,0,0,0,Clear,30.0,1124,2780,1002
Somnath,2025-01-10,14,Friday,0,0,0,Clear,29.4,1002,2992,1282
Somnath,2025-01-10,15,Friday,0,0,0,Clear,30.0,1282,3423,1521
Somnath,2025-01-10,16,Friday,0,0,0,Clear,29.2,1521,4016,1823
Somnath,2025-01-10,17,Friday,0,0,0,Clear,28.1,1823,5176,2609
Somnath,2025-01-10,18,Friday,0,0,0,Clear,28.2,2609,6204,2848
Somnath,2025-01-10,19,Friday,0,0,0,Clear,26.9,2848,6573,2696
Somnath,2025-01-10,20,Friday,0,0,0,Clear,23.9,2696,4782,1420
Somnath,2025-01-10,21,Friday,0,0,0,Clear,23.7,1420,3462,1028
Somnath,2025-01-10,22,Friday,0,0,0,Clear,22.5,1028,2021,378
Somnath,2025-01-10,23,Friday,0,0,0,Clear,20.4,378,1015,124
Somnath,2025-01-11,0,Saturday,1,0,0,Sunny,20.6,124,575,79
Somnath,2025-01-11,1,Saturday,1,0,0,Sunny,20.7,79,315,35
Somnath,2025-01-11,2,Saturday,1,0,0,Sunny,20.1,35,213,39
Somnath,2025-01-11,3,Saturday,1,0,0,Sunny,20.5,39,241,110
Somnath,2025-01-11,4,Saturday,1,0,0,Sunny,21.1,110,1227,831
Somnath,2025-01-11,5,Saturday,1,0,0,Sunny,23.0,831,2653,1568
Somnath,2025-01-11,6,Saturday,1,0,0,Sunny,23.4,1568,5164,2913
Somnath,2025-01-11,7,Saturday,1,0,0,Sunny,23.4,2913,6333,2991
Somnath,2025-01-11,8,Saturday,1,0,0,Sunny,25.6,2991,8042,3827
Somnath,2025-01-11,9,Saturday,1,0,0,Sunny,26.2,3827,8206,3316
Somnath,2025-01-11,10,Saturday,1,0,0,Sunny,28.6,3316,7978,3060
Somnath,2025-01-11,11,Saturday,1,0,0,Sunny,29.7,3060,6247,2189
Somnath,2025-01-11,12,Saturday,1,0,0,Sunny,30.5,2189,4976,1575
Somnath,2025-01-11,13,Saturday,1,0,0,Sunny,30.0,1575,3950,1180
Somnath,2025-01-11,14,Saturday,1,0,0,Sunny,30.9,1180,4171,1771
Somnath,2025-01-11,15,Saturday,1,0,0,Sunny,30.8,1771,5020,2364
Somnath,2025-01-11,16,Saturday,1,0,0,Sunny,30.3,2364,5766,2634
Somnath,2025-01-11,17,Saturday,1,0,0,Sunny,29.2,2634,7324,3549
Somnath,2025-01-11,18,Saturday,1,0,0,Sunny,29.1,3549,7805,3363
Somnath,2025-01-11,19,Saturday,1,0,0,Sunny,26.8,3363,8481,3655
Somnath,2025-01-11,20,Saturday,1,0,0,Sunny,26.3,3655,6470,1928
Somnath,2025-01-11,21,Saturday,1,0,0,Sunny,24.8,1928,4899,1357
Somnath,2025-01-11,22,Saturday,1,0,0,Sunny,22.7,1357,3379,682
Somnath,2025-01-11,23,Saturday,1,0,0,Sunny,21.7,682,1877,182
Somnath,2025-01-12,0,Sunday,1,0,0,Clear,24.8,182,865,57
Somnath,2025-01-12,1,Sunday,1,0,0,Clear,24.0,57,422,35
Somnath,2025-01-12,2,Sunday,1,0,0,Clear,24.4,35,260,41
Somnath,2025-01-12,3,Sunday,1,0,0,Clear,24.0,41,266,111
Somnath,2025-01-12,4,Sunday,1,0,0,Clear,25.1,111,1127,751
Somnath,2025-01-12,5,Sunday,1,0,0,Clear,26.2,751,2565,1515
Somnath,2025-01-12,6,Sunday,1,0,0,Clear,27.2,1515,5963,3589
Somnath,2025-01-12,7,Sunday,1,0,0,Clear,28.0,3589,6825,3123
Somnath,2025-01-12,8,Sunday,1,0,0,Clear,29.3,3123,8993,4225
Somnath,2025-01-12,9,Sunday,1,0,0,Clear,30.7,4225,8133,2956
Somnath,2025-01-12,10,Sunday,1,0,0,Clear,31.9,2956,7735,2991
Somnath,2025-01-12,11,Sunday,1,0,0,Clear,32.4,2991,7495,2742
Somnath,2025-01-12,12,Sunday,1,0,0,Clear,33.8,2742,5462,1512
Somnath,2025-01-12,13,Sunday,1,0,0,Clear,34.9,1512,4730,1500
Somnath,2025-01-12,14,Sunday,1,0,0,Clear,34.8,1500,4046,1529
Somnath,2025-01-12,15,Sunday,1,0,0,Clear,34.3,1529,4912,2169
Somnath,2025-01-12,16,Sunday,1,0,0,Clear,33.9,2169,6190,2949
Somnath,2025-01-12,17,Sunday,1,0,0,Clear,34.1,2949,9227,4826
Somnath,2025-01-12,18,Sunday,1,0,0,Clear,32.0,4826,10201,4376
Somnath,2025-01-12,19,Sunday,1,0,0,Clear,32.1,4376,9095,3398
Somnath,2025-01-12,20,Sunday,1,0,0,Clear,30.0,3398,7925,2714
Somnath,2025-01-12,21,Sunday,1,0,0,Clear,28.6,2714,5901,1575
Somnath,2025-01-12,22,Sunday,1,0,0,Clear,27.8,1575,3500,642
Somnath,2025-01-12,23,Sunday,1,0,0,Clear,26.0,642,1820,229
Somnath,2025-01-13,0,Monday,0,0,0,Clear,25.8,229,904,57
Somnath,2025-01-13,1,Monday,0,0,0,Clear,25.3,57,460,28
Somnath,2025-01-13,2,Monday,0,0,0,Clear,25.5,28,261,42
Somnath,2025-01-13,3,Monday,0,0,0,Clear,25.4,42,239,83
Somnath,2025-01-13,4,Monday,0,0,0,Clear,25.8,83,902,586
Somnath,2025-01-13,5,Monday,0,0,0,Clear,26.8,586,1965,1152
Somnath,2025-01-13,6,Monday,0,0,0,Clear,28.4,1152,3501,1934
Somnath,2025-01-13,7,Monday,0,0,0,Clear,28.6,1934,5747,3179
Somnath,2025-01-13,8,Monday,0,0,0,Clear,30.0,3179,7022,3136
Somnath,2025-01-13,9,Monday,0,0,0,Clear,31.7,3136,6833,2501
Somnath,2025-01-13,10,Monday,0,0,0,Clear,32.1,2501,5494,1742
Somnath,2025-01-13,11,Monday,0,0,0,Clear,33.8,1742,4785,1648
Somnath,2025-01-13,12,Monday,0,0,0,Clear,35.1,1648,3650,1211
Somnath,2025-01-13,13,Monday,0,0,0,Clear,36.0,1211,3289,1226
Somnath,2025-01-13,14,Monday,0,0,0,Clear,36.7,1226,3002,1211
Somnath,2025-01-13,15,Monday,0,0,0,Clear,35.0,1211,3760,1772
Somnath,2025-01-13,16,Monday,0,0,0,Clear,34.8,1772,4894,2450
Somnath,2025-01-13,17,Monday,0,0,0,Clear,34.9,2450,6223,2887
Somnath,2025-01-13,18,Monday,0,0,0,Clear,33.2,2887,7385,3337
Somnath,2025-01-13,19,Monday,0,0,0,Clear,32.0,3337,7324,2800
Somnath,2025-01-13,20,Monday,0,0,0,Clear,30.5,2800,6139,2117
Somnath,2025-01-13,21,Monday,0,0,0,Clear,29.9,2117,4423,1046
Somnath,2025-01-13,22,Monday,0,0,0,Clear,27.7,1046,2555,409
Somnath,2025-01-13,23,Monday,0,0,0,Clear,26.2,409,1354,179
Somnath,2025-01-14,0,Tuesday,0,1,1,Clear,22.3,179,715,55
Somnath,2025-01-14,1,Tuesday,0,1,1,Clear,21.4,55,384,47
Somnath,2025-01-14,2,Tuesday,0,1,1,Clear,21.8,47,235,43
Somnath,2025-01-14,3,Tuesday,0,1,1,Clear,23.1,43,237,105
Somnath,2025-01-14,4,Tuesday,0,1,1,Clear,22.4,105,1005,666
Somnath,2025-01-14,5,Tuesday,0,1,1,Clear,22.9,666,3152,1989
Somnath,2025-01-14,6,Tuesday,0,1,1,Clear,24.1,1989,5659,3127
Somnath,2025-01-14,7,Tuesday,0,1,1,Clear,25.3,3127,8357,4365
Somnath,2025-01-14,8,Tuesday,0,1,1,Clear,27.5,4365,10341,4955
Somnath,2025-01-14,9,Tuesday,0,1,1,Clear,29.1,4955,11553,5077
Somnath,2025-01-14,10,Tuesday,0,1,1,Clear,31.0,5077,9313,3119
Somnath,2025-01-14,11,Tuesday,0,1,1,Clear,30.9,3119,7084,2218
Somnath,2025-01-14,12,Tuesday,0,1,1,Clear,31.5,2218,6141,2309
Somnath,2025-01-14,13,Tuesday,0,1,1,Clear,31.9,2309,5518,1821
Somnath,2025-01-14,14,Tuesday,0,1,1,Clear,33.4,1821,5011,1976
Somnath,2025-01-14,15,Tuesday,0,1,1,Clear,32.5,1976,5710,2699
Somnath,2025-01-14,16,Tuesday,0,1,1,Clear,31.9,2699,7779,4036
Somnath,2025-01-14,17,Tuesday,0,1,1,Clear,30.3,4036,9447,4269
Somnath,2025-01-14,18,Tuesday,0,1,1,Clear,30.7,4269,9863,4414
Somnath,2025-01-14,19,Tuesday,0,1,1,Clear,28.1,4414,11107,4713
Somnath,2025-01-14,20,Tuesday,0,1,1,Clear,26.7,4713,9421,3216
